time,voltage,current,power,hydrogen,mode
0.5102,0.00,0.000,0.000,0.000,0
1.0248,0.00,0.000,0.000,0.000,0
1.5269,0.00,0.000,0.000,0.000,0
2.0435,0.00,0.000,0.000,0.000,0
2.5442,0.00,0.000,0.000,0.000,0
3.0596,0.00,0.000,0.000,0.000,0
3.5600,0.00,0.000,0.000,0.000,0
4.0755,0.00,0.000,0.000,0.000,0
4.5761,0.00,0.000,0.000,0.000,0
5.0906,0.00,0.000,0.000,0.000,0
5.5919,0.00,0.000,0.000,0.000,0
6.1075,0.00,0.000,0.000,0.000,0
6.6244,0.00,0.000,0.000,0.000,0
7.1387,0.00,0.000,0.000,0.000,0
7.6552,0.00,0.000,0.000,0.000,0
8.1570,0.00,0.000,0.000,0.000,0
8.6737,0.00,0.000,0.000,0.000,0
9.1880,0.00,0.000,0.000,0.000,0
9.6902,0.00,0.000,0.000,0.000,0
10.2065,0.00,0.000,0.000,0.000,0
10.7214,0.00,0.000,0.000,0.000,0
11.2232,0.00,0.000,0.000,0.000,0
11.7239,0.00,0.000,0.000,0.000,0
12.2385,0.00,0.000,0.000,0.000,0
12.7549,0.00,0.000,0.000,0.000,0
13.2551,0.00,0.000,0.000,0.000,0
13.7714,0.00,0.000,0.000,0.000,0
14.2719,0.00,0.000,0.000,0.000,0
14.7871,0.00,0.000,0.000,0.000,0
15.3015,0.00,0.000,0.000,0.000,0
15.8028,0.00,0.000,0.000,0.000,0
16.3045,0.00,0.000,0.000,0.000,0
16.8199,0.00,0.000,0.000,0.000,0
17.3360,0.00,0.000,0.000,0.000,0
17.8363,0.00,0.000,0.000,0.000,0
18.3532,0.00,0.000,0.000,0.000,0
18.8688,0.00,0.000,0.000,0.000,0
19.3846,0.00,0.000,0.000,0.000,0
19.8848,0.00,0.000,0.000,0.000,0
20.4009,0.00,0.000,0.000,0.000,0
20.9169,0.00,0.000,0.000,0.000,0
21.4180,0.00,0.000,0.000,0.000,0
21.9328,0.00,0.000,0.000,0.000,0
22.4335,0.00,0.000,0.000,0.000,0
22.9480,0.00,0.000,0.000,0.000,0
23.4503,0.00,0.000,0.000,0.000,0
23.9680,0.00,0.000,0.000,0.000,0
24.4829,0.00,0.000,0.000,0.000,0
24.9988,0.00,0.000,0.000,0.000,0
25.4991,0.00,0.000,0.000,0.000,0
26.0150,0.00,0.000,0.000,0.000,0
26.5154,0.00,0.000,0.000,0.000,0
27.0316,0.00,0.000,0.000,0.000,0
27.5316,0.00,0.000,0.000,0.000,0
28.0479,0.00,0.000,0.000,0.000,0
28.5641,0.00,0.000,0.000,0.000,0
29.0645,0.00,0.000,0.000,0.000,0
29.5789,0.00,0.000,0.000,0.000,0
30.0977,0.00,0.000,0.000,0.000,0
30.6130,0.00,0.000,0.000,0.000,0
31.1299,0.00,0.000,0.000,0.000,0
31.6449,0.00,0.000,0.000,0.000,0
32.1454,0.00,0.000,0.000,0.000,0
32.6622,0.00,0.000,0.000,0.000,0
33.1787,0.00,0.000,0.000,0.000,0
33.6791,0.00,0.000,0.000,0.000,0
34.1955,0.00,0.000,0.000,0.000,0
34.7102,0.00,0.000,0.000,0.000,0
35.2107,0.00,0.000,0.000,0.000,0
35.7120,0.00,0.000,0.000,0.000,0
36.2271,0.00,0.000,0.000,0.000,0
36.7272,0.00,0.000,0.000,0.000,0
37.2434,0.00,0.000,0.000,0.000,0
37.7589,0.00,0.000,0.000,0.000,0
38.2592,0.00,0.000,0.000,0.000,0
38.7777,0.00,0.000,0.000,0.000,0
