time,voltage,current,power,hydrogen,mode
0.5171,0.00,0.000,0.000,0.000,0
1.0320,0.00,0.000,0.000,0.000,0
1.5324,0.00,0.000,0.000,0.000,0
2.0474,0.00,0.000,0.000,0.000,0
2.5504,0.00,0.000,0.000,0.000,0
3.0634,0.00,0.000,0.000,0.000,0
3.5644,0.00,0.000,0.000,0.000,0
4.0785,0.00,0.000,0.000,0.000,0
4.5799,0.00,0.000,0.000,0.000,0
5.0969,0.00,0.000,0.000,0.000,0
5.6130,0.00,0.000,0.000,0.000,0
6.1283,0.00,0.000,0.000,0.000,0
6.6294,0.00,0.000,0.000,0.000,0
7.1459,0.00,0.000,0.000,0.000,0
7.6625,0.00,0.000,0.000,0.000,0
8.1779,0.00,0.000,0.000,0.000,0
8.6928,0.00,0.000,0.000,0.000,0
9.1955,0.00,0.000,0.000,0.000,0
9.7097,0.00,0.000,0.000,0.000,0
10.2099,0.00,0.000,0.000,0.000,0
10.7108,0.00,0.000,0.000,0.000,0
11.2267,0.00,0.000,0.000,0.000,0
11.7273,0.00,0.000,0.000,0.000,0
12.2417,0.00,0.000,0.000,0.000,0
12.7435,0.00,0.000,0.000,0.000,0
13.2435,0.00,0.000,0.000,0.000,0
13.7598,0.00,0.000,0.000,0.000,0
14.2750,0.00,0.000,0.000,0.000,0
14.7906,0.00,0.000,0.000,0.000,0
15.2929,0.00,0.000,0.000,0.000,0
15.8081,0.00,0.000,0.000,0.000,0
16.3231,0.00,0.000,0.000,0.000,0
16.8248,0.00,0.000,0.000,0.000,0
17.3411,0.00,0.000,0.000,0.000,0
17.8579,0.00,0.000,0.000,0.000,0
18.3730,0.00,0.000,0.000,0.000,0
18.8747,0.00,0.000,0.000,0.000,0
19.3880,0.00,0.000,0.000,0.000,0
19.8891,0.00,0.000,0.000,0.000,0
20.4044,0.00,0.000,0.000,0.000,0
20.9052,0.00,0.000,0.000,0.000,0
21.4077,0.00,0.000,0.000,0.000,0
21.9197,0.00,0.000,0.000,0.000,0
22.4211,0.00,0.000,0.000,0.000,0
22.9235,0.00,0.000,0.000,0.000,0
23.4237,0.00,0.000,0.000,0.000,0
23.9373,0.00,0.000,0.000,0.000,0
24.4528,0.00,0.000,0.000,0.000,0
24.9544,0.00,0.000,0.000,0.000,0
25.4553,0.00,0.000,0.000,0.000,0
25.9554,0.00,0.000,0.000,0.000,0
26.4684,0.00,0.000,0.000,0.000,0
26.9694,0.00,0.000,0.000,0.000,0
27.4868,0.00,0.000,0.000,0.000,0
27.9884,0.00,0.000,0.000,0.000,0
28.5014,0.00,0.000,0.000,0.000,0
29.0028,0.00,0.000,0.000,0.000,0
29.5186,0.00,0.000,0.000,0.000,0
30.0193,0.00,0.000,0.000,0.000,0
30.5341,0.00,0.000,0.000,0.000,0
31.0356,0.00,0.000,0.000,0.000,0
31.5508,0.00,0.000,0.000,0.000,0
32.0669,0.00,0.000,0.000,0.000,0
32.5820,0.00,0.000,0.000,0.000,0
33.0849,0.00,0.000,0.000,0.000,0
33.5998,0.00,0.000,0.000,0.000,0
34.1167,0.00,0.000,0.000,0.000,0
34.6321,0.00,0.000,0.000,0.000,0
35.1326,0.00,0.000,0.000,0.000,0
35.6343,0.00,0.000,0.000,0.000,0
36.1482,0.00,0.000,0.000,0.000,0
36.6637,0.00,0.000,0.000,0.000,0
37.1820,0.00,0.000,0.000,0.000,0
37.6825,0.00,0.000,0.000,0.000,0
38.1967,0.00,0.000,0.000,0.000,0
38.7138,0.00,0.000,0.000,0.000,0
39.2149,0.00,0.000,0.000,0.000,0
39.7312,0.00,0.000,0.000,0.000,0
40.2456,0.00,0.000,0.000,0.000,0
40.7460,0.00,0.000,0.000,0.000,0
41.2617,0.00,0.000,0.000,0.000,0
41.7634,0.00,0.000,0.000,0.000,0
42.2796,0.00,0.000,0.000,0.000,0
42.7941,0.00,0.000,0.000,0.000,0
43.2954,0.00,0.000,0.000,0.000,0
43.8109,0.00,0.000,0.000,0.000,0
44.3115,0.00,0.000,0.000,0.000,0
44.8276,0.00,0.000,0.000,0.000,0
