time,voltage,current,power,hydrogen,mode
0.5083,0.00,0.000,0.000,0.000,0
1.0083,0.00,0.000,0.000,0.000,0
1.5225,0.00,0.000,0.000,0.000,0
2.0249,0.00,0.000,0.000,0.000,0
2.5409,0.00,0.000,0.000,0.000,0
3.0561,0.00,0.000,0.000,0.000,0
3.5714,0.00,0.000,0.000,0.000,0
4.0877,0.00,0.000,0.000,0.000,0
4.5900,0.00,0.000,0.000,0.000,0
5.0904,0.00,0.000,0.000,0.000,0
5.6035,0.00,0.000,0.000,0.000,0
6.1061,0.00,0.000,0.000,0.000,0
6.6079,0.00,0.000,0.000,0.000,0
7.1218,0.00,0.000,0.000,0.000,0
7.6362,0.00,0.000,0.000,0.000,0
8.1391,0.00,0.000,0.000,0.000,0
8.6544,0.00,0.000,0.000,0.000,0
9.1546,0.00,0.000,0.000,0.000,0
9.6686,0.00,0.000,0.000,0.000,0
10.1705,0.00,0.000,0.000,0.000,0
10.6870,0.00,0.000,0.000,0.000,0
11.2042,0.00,0.000,0.000,0.000,0
11.7180,0.00,0.000,0.000,0.000,0
12.2198,0.00,0.000,0.000,0.000,0
12.7359,0.00,0.000,0.000,0.000,0
13.2359,0.00,0.000,0.000,0.000,0
13.7507,0.00,0.000,0.000,0.000,0
14.2522,0.00,0.000,0.000,0.000,0
14.7671,6.35,6.498,41.262,57.704,0
15.2680,6.35,6.498,41.262,57.704,0
15.7821,6.35,6.498,41.262,57.704,0
16.2842,6.35,6.498,41.262,57.704,0
16.8007,6.35,6.498,41.262,57.704,0
17.3173,6.35,6.498,41.262,57.704,0
17.8329,6.35,6.498,41.262,57.704,0
18.3452,6.35,6.498,41.262,57.704,0
18.8497,6.41,3.498,22.422,31.063,0
19.3499,6.41,3.497,22.415,31.054,0
19.8633,6.41,3.497,22.415,31.054,0
20.3671,6.41,3.497,22.415,31.054,0
20.8822,6.41,3.497,22.415,31.054,0
21.3990,6.41,3.498,22.422,31.063,0
21.9143,6.41,3.497,22.415,31.054,0
22.4149,6.48,3.498,22.667,31.063,0
22.9153,6.48,0.000,0.000,0.000,0
23.4158,6.48,0.172,1.114,1.527,0
23.9295,6.47,0.347,2.245,3.081,0
24.4305,6.47,0.522,3.377,4.635,0
24.9471,6.47,0.522,3.377,4.635,0
25.4475,6.47,0.697,4.509,6.190,0
25.9608,6.47,0.872,5.641,7.744,0
