time,voltage,current,power,hydrogen,mode
0.0000,6.48,0.000,0.000,0.000,0
1.0000,6.48,0.297,1.924,2.637,0
2.0000,6.47,0.597,3.862,5.302,0
3.0000,6.46,0.897,5.794,7.966,0
4.0000,6.46,1.196,7.726,10.621,0
5.0000,6.45,1.497,9.655,13.294,0
6.0000,6.45,1.797,11.590,15.958,0
7.0000,6.44,2.097,13.504,18.622,0
8.0000,6.43,2.397,15.412,21.286,0
9.0000,6.43,2.697,17.341,23.950,0
10.0000,6.42,2.997,19.240,26.614,0
11.0000,6.42,3.297,21.166,29.278,0
12.0000,6.41,3.597,23.056,31.942,0
13.0000,6.40,3.897,24.940,34.606,0
14.0000,6.40,4.198,26.867,37.279,0
15.0000,6.39,4.498,28.742,39.943,0
16.0000,6.39,4.798,30.659,42.608,0
17.0000,6.38,5.098,32.525,45.272,0
18.0000,6.37,5.398,34.385,47.936,0
19.0000,6.37,5.698,36.296,50.600,0
20.0000,6.36,5.998,38.147,53.264,0
