time,voltage,current,power,hydrogen,mode
0.5125,1.56,1.495,2.332,13.276,0
1.0294,1.56,1.495,2.332,13.276,0
1.5452,1.56,1.495,2.332,13.276,0
2.0611,1.56,1.495,2.332,13.276,0
2.5620,1.56,1.495,2.332,13.276,0
3.0784,1.56,1.495,2.332,13.276,0
3.5918,1.56,1.495,2.332,13.276,0
4.0944,1.56,1.495,2.332,13.276,0
4.6094,1.56,1.494,2.330,13.267,0
5.1261,1.56,1.495,2.332,13.276,0
5.6269,1.56,1.495,2.332,13.276,0
6.1289,1.56,1.495,2.332,13.276,0
6.6417,1.50,4.496,6.744,39.926,0
7.1581,1.50,4.496,6.744,39.926,0
7.6584,1.50,4.496,6.744,39.926,0
8.1603,1.50,4.496,6.744,39.926,0
8.6738,1.53,4.496,6.878,39.926,0
9.1742,1.53,2.995,4.582,26.596,0
9.6902,1.53,2.995,4.582,26.596,0
10.1926,1.53,2.995,4.582,26.596,0
10.7080,1.53,2.995,4.582,26.596,0
11.2240,1.59,0.000,0.000,0.000,1
11.7248,1.59,0.000,0.000,0.000,1
12.2253,1.59,0.000,0.000,0.000,1
12.7398,1.59,0.000,0.000,0.000,1
13.2407,1.59,0.000,0.000,0.000,1
13.7411,1.59,0.000,0.000,0.000,1
14.2569,1.59,0.000,0.000,0.000,1
14.7725,1.59,0.000,0.000,0.000,1
15.2735,1.59,0.000,0.000,0.000,1
15.7888,1.59,0.000,0.000,0.000,1
16.2893,1.59,0.000,0.000,0.000,1
16.8050,1.59,0.000,0.000,0.000,1
17.3223,1.59,0.000,0.000,0.000,1
17.8382,1.59,0.000,0.000,0.000,1
18.3539,1.59,0.000,0.000,0.000,1
18.8548,1.59,0.000,0.000,0.000,1
19.3694,1.59,0.000,0.000,0.000,1
19.8697,1.59,0.000,0.000,0.000,1
20.3859,1.59,0.000,0.000,0.000,1
20.8860,1.59,0.000,0.000,0.000,1
21.3861,1.59,0.000,0.000,0.000,1
21.8869,1.59,0.000,0.000,0.000,1
22.3998,1.59,0.000,0.000,0.000,0
22.9016,1.53,2.995,4.582,26.596,0
23.4032,1.53,2.995,4.582,26.596,0
23.9191,1.53,2.994,4.580,26.588,0
24.4338,1.53,2.995,4.582,26.596,0
24.9342,1.53,2.995,4.582,26.596,0
25.4508,1.53,2.995,4.582,26.596,0
25.9672,1.53,2.995,4.582,26.596,0
26.4674,1.53,2.995,4.582,26.596,0
26.9822,1.59,0.000,0.000,0.000,1
27.4826,1.59,0.000,0.000,0.000,1
27.9996,1.59,0.000,0.000,0.000,1
28.5152,1.59,0.000,0.000,0.000,1
29.0160,1.59,0.000,0.000,0.000,1
29.5330,1.59,0.000,0.000,0.000,1
30.0337,1.59,0.000,0.000,0.000,1
30.5490,1.59,0.000,0.000,0.000,1
31.0640,1.59,0.000,0.000,0.000,1
31.5807,1.59,0.000,0.000,0.000,1
32.0811,1.59,0.000,0.000,0.000,1
32.5983,1.59,0.000,0.000,0.000,1
33.1139,1.59,0.000,0.000,0.000,1
