time,voltage,current,power,hydrogen,mode
0.5078,0.00,0.000,0.000,0.000,0
1.0236,0.00,0.000,0.000,0.000,0
1.5401,0.00,0.000,0.000,0.000,0
2.0564,0.00,0.000,0.000,0.000,0
2.5569,0.00,0.000,0.000,0.000,0
3.0718,0.00,0.000,0.000,0.000,0
3.5725,0.00,0.000,0.000,0.000,0
4.0728,0.00,0.000,0.000,0.000,0
4.5892,0.00,0.000,0.000,0.000,0
5.1048,0.00,0.000,0.000,0.000,0
5.6050,0.00,0.000,0.000,0.000,0
6.1213,0.00,0.000,0.000,0.000,0
6.6376,0.00,0.000,0.000,0.000,0
7.1537,0.00,0.000,0.000,0.000,0
7.6541,0.00,0.000,0.000,0.000,0
8.1701,2.95,1.997,5.891,17.734,0
8.6868,1.95,1.997,3.894,17.734,0
9.2027,1.95,1.997,3.894,17.734,0
9.7029,2.95,1.997,5.891,17.734,0
10.2032,2.95,1.997,5.891,17.734,0
10.7198,1.95,1.997,3.894,17.734,0
11.2354,1.95,1.997,3.894,17.734,0
11.7520,1.95,1.997,3.894,17.734,0
12.2686,1.95,1.997,3.894,17.734,0
12.7848,1.95,1.997,3.894,17.734,0
13.3014,1.95,1.997,3.894,17.734,0
13.8177,1.95,1.997,3.894,17.734,0
14.3181,1.95,1.997,3.894,17.734,0
14.8337,1.95,1.997,3.894,17.734,0
15.3497,0.00,0.000,0.000,0.000,1
15.8502,0.00,0.000,0.000,0.000,1
16.3665,0.00,0.000,0.000,0.000,1
16.8828,0.00,0.000,0.000,0.000,1
17.3990,0.00,0.000,0.000,0.000,1
17.8997,0.00,0.000,0.000,0.000,1
18.4157,0.00,0.000,0.000,0.000,1
18.9318,0.00,0.000,0.000,0.000,1
19.4486,0.00,0.000,0.000,0.000,1
19.9645,0.00,0.000,0.000,0.000,1
20.4805,0.00,0.000,0.000,0.000,1
20.9810,0.00,0.000,0.000,0.000,1
21.4985,0.00,0.000,0.000,0.000,1
22.0153,0.00,0.000,0.000,0.000,1
22.5157,0.00,0.000,0.000,0.000,1
23.0303,0.00,0.000,0.000,0.000,1
23.5458,0.00,0.000,0.000,0.000,1
24.0459,0.00,0.000,0.000,0.000,1
24.5622,0.00,0.000,0.000,0.000,1
25.0635,0.00,0.000,0.000,0.000,1
25.5789,0.00,0.000,0.000,0.000,1
26.0791,0.00,0.000,0.000,0.000,1
26.5948,0.00,0.000,0.000,0.000,1
27.0950,0.00,0.000,0.000,0.000,1
27.6113,0.00,0.000,0.000,0.000,1
28.1274,0.00,0.000,0.000,0.000,1
28.6437,0.00,0.000,0.000,0.000,1
29.1598,0.00,0.000,0.000,0.000,1
29.6764,0.00,0.000,0.000,0.000,1
30.1769,0.00,0.000,0.000,0.000,1
30.6925,0.00,0.000,0.000,0.000,1
31.1925,0.00,0.000,0.000,0.000,1
31.7091,0.00,0.000,0.000,0.000,1
32.2249,0.00,0.000,0.000,0.000,1
32.7255,0.00,0.000,0.000,0.000,1
33.2425,0.00,0.000,0.000,0.000,1
33.7581,0.00,0.000,0.000,0.000,1
34.2746,0.00,0.000,0.000,0.000,1
34.7908,0.00,0.000,0.000,0.000,1
35.3076,0.00,0.000,0.000,0.000,1
35.8243,0.00,0.000,0.000,0.000,1
36.3408,0.00,0.000,0.000,0.000,1
36.8569,0.00,0.000,0.000,0.000,1
37.3730,0.00,0.000,0.000,0.000,1
37.8895,0.00,0.000,0.000,0.000,1
38.4058,0.00,0.000,0.000,0.000,1
38.9072,0.00,0.000,0.000,0.000,1
39.4224,0.00,0.000,0.000,0.000,1
39.9398,0.00,0.000,0.000,0.000,1
40.4551,0.00,0.000,0.000,0.000,1
40.9712,0.00,0.000,0.000,0.000,1
41.4873,0.00,0.000,0.000,0.000,1
41.9875,0.00,0.000,0.000,0.000,1
42.5036,0.00,0.000,0.000,0.000,1
43.0038,0.00,0.000,0.000,0.000,1
43.5197,0.00,0.000,0.000,0.000,1
44.0199,0.00,0.000,0.000,0.000,1
44.5201,0.00,0.000,0.000,0.000,1
45.0359,0.00,0.000,0.000,0.000,1
45.5523,0.00,0.000,0.000,0.000,1
46.0688,0.00,0.000,0.000,0.000,1
46.5847,0.00,0.000,0.000,0.000,1
47.0855,0.00,0.000,0.000,0.000,1
47.6017,0.00,0.000,0.000,0.000,1
48.1180,0.00,0.000,0.000,0.000,1
48.6343,0.00,0.000,0.000,0.000,1
49.1516,0.00,0.000,0.000,0.000,1
49.6694,0.00,0.000,0.000,0.000,1
50.1831,0.00,0.000,0.000,0.000,1
50.6833,0.00,0.000,0.000,0.000,1
51.1863,0.00,0.000,0.000,0.000,1
51.6993,0.00,0.000,0.000,0.000,1
52.2001,0.00,0.000,0.000,0.000,1
52.7155,0.00,0.000,0.000,0.000,1
53.2330,0.00,0.000,0.000,0.000,1
53.7481,0.00,0.000,0.000,0.000,1
54.2655,0.00,0.000,0.000,0.000,1
