time,voltage,current,power,hydrogen,mode
0.0000,1.93,3.497,6.749,31.054,0
0.0000,1.99,0.000,0.000,0.000,0
0.0000,1.99,0.172,0.342,1.527,0
0.0000,1.98,0.347,0.687,3.081,0
0.0000,1.98,0.522,1.033,4.635,0
0.0000,1.98,0.696,1.378,6.181,0
0.0000,1.97,0.872,1.717,7.744,0
0.0000,1.97,1.046,2.060,9.289,0
0.0000,1.97,1.221,2.405,10.843,0
0.0000,1.96,1.397,2.738,12.406,0
0.0000,1.96,1.570,3.077,13.942,0
0.0000,1.96,1.746,3.422,15.505,0
0.0000,1.95,1.922,3.747,17.068,0
0.0000,1.95,2.097,4.089,18.622,0
0.0000,1.94,2.271,4.405,20.167,0
0.0000,1.94,2.447,4.747,21.730,0
0.0000,1.94,2.622,5.086,23.284,0
0.0000,1.93,2.797,5.398,24.838,0
0.0000,1.93,2.972,5.735,26.392,0
0.0000,1.93,3.146,6.071,27.937,0
