time,voltage,current,power,hydrogen,mode
0.5133,0.00,0.000,0.000,0.000,0
1.0162,0.00,0.000,0.000,0.000,0
1.5335,0.00,0.000,0.000,0.000,0
2.0475,0.00,0.000,0.000,0.000,0
2.5483,0.00,0.000,0.000,0.000,0
3.0653,0.00,0.000,0.000,0.000,0
3.5805,0.00,0.000,0.000,0.000,0
4.0807,0.00,0.000,0.000,0.000,0
4.5807,0.00,0.000,0.000,0.000,0
5.0956,0.00,0.000,0.000,0.000,0
5.6110,0.00,0.000,0.000,0.000,0
6.1129,0.00,0.000,0.000,0.000,0
6.6268,0.00,0.000,0.000,0.000,0
7.1289,0.00,0.000,0.000,0.000,0
7.6457,0.00,0.000,0.000,0.000,0
8.1596,0.00,0.000,0.000,0.000,0
8.6767,0.00,0.000,0.000,0.000,0
9.1787,0.00,0.000,0.000,0.000,0
9.6919,0.00,0.000,0.000,0.000,0
10.1946,0.00,0.000,0.000,0.000,0
10.7086,0.00,0.000,0.000,0.000,0
11.2104,0.00,0.000,0.000,0.000,0
11.7106,0.00,0.000,0.000,0.000,0
12.2258,0.00,0.000,0.000,0.000,0
12.7434,0.00,0.000,0.000,0.000,0
