time,voltage,current,power,hydrogen,mode
0.5055,2.99,0.000,0.000,0.000,0
1.0082,2.99,0.000,0.000,0.000,0
1.5256,2.99,0.000,0.000,0.000,0
2.0410,2.99,0.000,0.000,0.000,0
2.5576,2.99,0.000,0.000,0.000,0
3.0710,2.99,0.000,0.000,0.000,0
3.5737,2.99,0.000,0.000,0.000,0
4.0874,2.99,0.000,0.000,0.000,0
4.5898,2.99,0.000,0.000,0.000,0
5.1050,2.99,0.000,0.000,0.000,0
5.6211,2.98,0.000,0.000,0.000,0
6.1250,2.99,0.000,0.000,0.000,0
6.6395,2.99,0.000,0.000,0.000,0
7.1397,2.99,0.000,0.000,0.000,0
7.6526,2.99,0.000,0.000,0.000,0
8.1549,2.99,0.000,0.000,0.000,0
8.6564,2.99,0.000,0.000,0.000,0
9.1693,2.99,0.000,0.000,0.000,0
9.6707,2.99,0.000,0.000,0.000,0
10.1865,2.98,0.046,0.137,0.408,0
10.6868,2.98,0.095,0.283,0.844,0
11.2023,2.98,0.145,0.432,1.288,0
11.7179,2.98,0.145,0.432,1.288,0
12.2195,2.98,0.196,0.584,1.741,0
12.7195,2.98,0.245,0.730,2.176,0
13.2341,2.98,0.295,0.879,2.620,0
13.7349,2.98,0.338,1.007,3.002,0
14.2355,2.98,0.346,1.031,3.073,0
14.7361,2.98,0.395,1.177,3.508,0
15.4191,2.98,0.395,1.177,3.508,0
15.9318,2.98,0.395,1.177,3.508,0
16.4342,2.98,0.445,1.326,3.952,0
16.9352,2.98,0.495,1.475,4.396,0
17.4490,2.97,0.545,1.618,4.840,0
17.9652,2.97,0.550,1.633,4.884,0
18.4664,2.97,0.595,1.767,5.284,0
18.9829,2.97,0.645,1.915,5.728,0
19.4991,2.97,0.694,2.061,6.163,0
20.0160,2.97,0.745,2.212,6.616,0
20.5293,2.97,0.745,2.212,6.616,0
21.0320,2.96,0.795,2.361,7.060,0
21.5478,2.97,0.845,2.509,7.504,0
22.2707,2.97,0.845,2.509,7.504,0
22.7780,2.97,0.844,2.506,7.495,0
23.2808,2.97,0.895,2.658,7.948,0
23.7973,2.97,0.945,2.806,8.392,0
24.3131,2.97,0.995,2.955,8.836,0
24.8140,2.96,0.995,2.945,8.836,0
25.3143,2.97,0.995,2.955,8.836,0
25.8309,2.97,0.995,2.955,8.836,0
26.3468,2.97,0.995,2.955,8.836,0
