time,voltage,current,power,hydrogen,mode
0.0000,4.87,5.498,26.775,48.824,0
0.0000,4.98,0.846,4.213,7.513,0
0.0000,4.98,0.027,0.134,0.240,0
0.0000,4.97,0.301,1.495,2.673,0
0.0000,4.97,0.582,2.892,5.168,0
0.0000,4.96,0.846,4.196,7.513,0
0.0000,4.96,1.125,5.580,9.990,0
0.0000,4.95,1.400,6.930,12.432,0
0.0000,4.94,1.664,8.220,14.777,0
0.0000,4.94,1.944,9.603,17.263,0
0.0000,4.93,2.220,10.944,19.714,0
0.0000,4.93,2.493,12.290,22.139,0
0.0000,4.92,2.769,13.623,24.589,0
0.0000,4.92,3.049,15.001,27.076,0
0.0000,4.91,3.316,16.281,29.447,0
0.0000,4.91,3.595,17.651,31.925,0
0.0000,4.90,3.874,18.982,34.402,0
0.0000,4.89,4.139,20.239,36.755,0
0.0000,4.89,4.417,21.599,39.224,0
0.0000,4.88,4.697,22.921,41.711,0
