time,voltage,current,power,hydrogen,mode
0.5116,0.00,0.000,0.000,0.000,0
1.0122,0.00,0.000,0.000,0.000,0
1.5293,0.00,0.000,0.000,0.000,0
2.0302,0.00,0.000,0.000,0.000,0
2.5431,0.00,0.000,0.000,0.000,0
3.0592,0.00,0.000,0.000,0.000,0
3.5767,0.00,0.000,0.000,0.000,0
4.0777,0.00,0.000,0.000,0.000,0
4.5919,0.00,0.000,0.000,0.000,0
5.0932,0.00,0.000,0.000,0.000,0
5.6094,0.00,0.000,0.000,0.000,0
6.1101,0.00,0.000,0.000,0.000,0
6.6244,0.00,0.000,0.000,0.000,0
7.1278,0.00,0.000,0.000,0.000,0
7.6422,0.00,0.000,0.000,0.000,0
8.1574,0.00,0.000,0.000,0.000,0
8.6731,0.00,0.000,0.000,0.000,0
9.1737,0.00,0.000,0.000,0.000,0
9.6745,0.00,0.000,0.000,0.000,0
10.1891,0.00,0.000,0.000,0.000,0
10.6900,0.00,0.000,0.000,0.000,0
11.2059,0.00,0.000,0.000,0.000,0
11.7063,0.00,0.000,0.000,0.000,0
12.2231,0.00,0.000,0.000,0.000,0
12.7318,0.00,0.000,0.000,0.000,0
13.2375,0.00,0.000,0.000,0.000,0
13.7545,0.00,0.000,0.000,0.000,0
14.2715,0.00,0.000,0.000,0.000,0
14.7739,0.00,0.000,0.000,0.000,0
15.2867,0.00,0.000,0.000,0.000,0
15.7871,0.00,0.000,0.000,0.000,0
16.2871,0.00,0.000,0.000,0.000,0
16.8303,0.00,0.000,0.000,0.000,0
17.3303,0.00,0.000,0.000,0.000,0
17.8303,0.00,0.000,0.000,0.000,0
18.3303,0.00,0.000,0.000,0.000,0
18.8303,0.00,0.000,0.000,0.000,0
19.3303,0.00,0.000,0.000,0.000,0
19.8308,0.00,0.000,0.000,0.000,0
20.3308,0.00,0.000,0.000,0.000,0
20.8308,0.00,0.000,0.000,0.000,0
21.3308,0.00,0.000,0.000,0.000,0
21.8744,0.00,0.000,0.000,0.000,0
22.3877,0.00,0.000,0.000,0.000,0
22.9005,0.00,0.000,0.000,0.000,1
24.6492,0.00,0.000,0.000,0.000,1
25.1507,0.00,0.000,0.000,0.000,1
25.6652,0.00,0.000,0.000,0.000,0
26.1660,0.00,0.000,0.000,0.000,0
26.6823,0.00,0.000,0.000,0.000,1
27.1993,0.00,0.000,0.000,0.000,1
28.1882,0.00,0.000,0.000,0.000,1
28.6974,0.00,0.000,0.000,0.000,1
29.1985,0.00,0.000,0.000,0.000,1
