time,voltage,current,power,hydrogen,mode
0.5174,0.00,0.000,0.000,0.000,0
1.0338,0.00,0.000,0.000,0.000,0
1.5508,0.00,0.000,0.000,0.000,0
2.0673,0.00,0.000,0.000,0.000,0
2.5823,0.00,0.000,0.000,0.000,0
3.0835,0.00,0.000,0.000,0.000,0
3.5998,0.00,0.000,0.000,0.000,0
4.1155,0.00,0.000,0.000,0.000,0
4.6159,0.00,0.000,0.000,0.000,0
5.1315,0.00,0.000,0.000,0.000,0
5.6476,0.00,0.000,0.000,0.000,0
6.1492,0.00,0.000,0.000,0.000,0
6.6647,0.00,0.000,0.000,0.000,0
7.1803,0.00,0.000,0.000,0.000,0
7.6967,0.00,0.000,0.000,0.000,0
8.1977,0.00,0.000,0.000,0.000,0
8.7126,0.00,0.000,0.000,0.000,0
9.2130,0.00,0.000,0.000,0.000,0
9.7290,0.00,0.000,0.000,0.000,0
10.2292,0.00,0.000,0.000,0.000,0
10.7457,0.00,0.000,0.000,0.000,0
11.2620,0.00,0.000,0.000,0.000,0
11.7786,0.00,0.000,0.000,0.000,0
12.2786,0.00,0.000,0.000,0.000,0
12.7945,0.00,0.000,0.000,0.000,0
13.2949,0.00,0.000,0.000,0.000,0
13.8095,0.00,0.000,0.000,0.000,0
14.3103,1.61,0.000,0.000,0.000,1
14.8270,1.61,0.000,0.000,0.000,1
15.3433,1.61,0.000,0.000,0.000,1
15.8594,1.61,0.000,0.000,0.000,1
16.3763,1.61,0.000,0.000,0.000,1
16.8924,1.61,0.000,0.000,0.000,1
17.4093,1.61,0.000,0.000,0.000,1
17.9253,1.61,0.000,0.000,0.000,1
18.4417,1.61,0.000,0.000,0.000,1
18.9581,1.61,0.000,0.000,0.000,1
19.4746,1.61,0.000,0.000,0.000,1
19.9911,1.61,0.000,0.000,0.000,1
20.5075,1.61,0.000,0.000,0.000,1
21.0239,1.61,0.000,0.000,0.000,1
21.5405,1.61,0.000,0.000,0.000,1
22.0569,1.61,0.000,0.000,0.000,1
22.5732,1.61,0.000,0.000,0.000,1
23.0909,1.61,0.000,0.000,0.000,1
23.6097,1.61,0.000,0.000,0.000,1
24.1238,0.00,0.000,0.000,0.000,0
24.6380,1.51,0.000,0.000,0.000,1
25.1385,1.61,0.000,0.000,0.000,1
25.6553,1.61,0.000,0.000,0.000,1
26.1714,1.61,0.000,0.000,0.000,1
26.6725,1.61,0.000,0.000,0.000,1
27.1882,1.61,0.000,0.000,0.000,1
27.7047,1.61,0.000,0.000,0.000,1
28.2209,1.61,0.000,0.000,0.000,1
28.7378,1.61,0.000,0.000,0.000,1
29.2550,1.61,0.000,0.000,0.000,1
29.7709,1.61,0.000,0.000,0.000,1
30.2862,1.61,0.000,0.000,0.000,1
30.8023,1.61,0.000,0.000,0.000,1
31.3189,1.61,0.000,0.000,0.000,1
31.8357,1.61,0.000,0.000,0.000,1
32.3517,1.61,0.000,0.000,0.000,1
32.8519,1.61,0.000,0.000,0.000,1
33.3680,1.61,0.000,0.000,0.000,1
33.8844,1.61,0.000,0.000,0.000,1
34.4013,1.61,0.000,0.000,0.000,1
34.9172,1.61,0.000,0.000,0.000,1
35.4328,1.61,0.000,0.000,0.000,1
35.9333,1.61,0.000,0.000,0.000,1
36.4497,1.61,0.000,0.000,0.000,1
36.9506,1.61,0.000,0.000,0.000,1
37.4666,1.61,0.000,0.000,0.000,1
37.9823,1.61,0.000,0.000,0.000,1
38.4988,1.61,0.000,0.000,0.000,1
39.0152,1.61,0.000,0.000,0.000,1
39.5300,1.61,0.000,0.000,0.000,1
40.0313,1.61,0.000,0.000,0.000,1
40.5476,1.61,0.000,0.000,0.000,1
41.0644,1.61,0.000,0.000,0.000,1
41.5802,1.61,0.000,0.000,0.000,1
42.0805,1.61,0.000,0.000,0.000,1
42.5976,1.61,0.000,0.000,0.000,1
43.1132,1.61,0.000,0.000,0.000,1
43.6292,1.61,0.000,0.000,0.000,1
44.1293,1.61,0.000,0.000,0.000,1
44.6462,1.61,0.000,0.000,0.000,1
45.1622,1.61,0.000,0.000,0.000,1
45.6780,1.61,0.000,0.000,0.000,1
46.1784,1.61,0.000,0.000,0.000,1
46.6787,1.61,0.000,0.000,0.000,1
47.1952,1.61,0.000,0.000,0.000,1
47.7104,1.61,0.000,0.000,0.000,1
48.2274,1.61,0.000,0.000,0.000,1
48.7436,1.61,0.000,0.000,0.000,1
49.2446,1.61,0.000,0.000,0.000,1
49.7595,1.61,0.000,0.000,0.000,1
50.2595,1.61,0.000,0.000,0.000,1
50.7763,1.61,0.000,0.000,0.000,1
51.2925,1.61,0.000,0.000,0.000,1
51.8083,1.61,0.000,0.000,0.000,1
52.3084,1.61,0.000,0.000,0.000,1
52.8084,1.61,0.000,0.000,0.000,1
53.3249,1.61,0.000,0.000,0.000,1
53.8408,1.61,0.000,0.000,0.000,1
54.3417,1.61,0.000,0.000,0.000,1
54.8575,1.61,0.000,0.000,0.000,1
55.3737,1.61,0.000,0.000,0.000,1
55.8899,1.61,0.000,0.000,0.000,1
56.3901,1.61,0.000,0.000,0.000,1
56.9069,1.61,0.000,0.000,0.000,1
57.4071,1.61,0.000,0.000,0.000,1
57.9220,1.61,0.000,0.000,0.000,1
