time,voltage,current,power,hydrogen,mode
0.0000,0.00,-143169.172,185314.906,-1271380.250,0
time,voltage,current,power,hydrogen,mode
0.0000,0.00,-143169.172,185314.906,-1271380.250,0
time,voltage,current,power,hydrogen,mode
0.0000,0.00,-143169.172,185314.906,-1271380.250,0
time,voltage,current,power,hydrogen,mode
0.0000,185314.91,0.000,0.000,0.000,0
time,voltage,current,power,hydrogen,mode
0.0000,-1364304.12,0.000,0.000,0.000,0
time,voltage,current,power,hydrogen,mode
0.0000,185314.91,0.000,0.000,0.000,0
time,voltage,current,power,hydrogen,mode
0.0000,185314.91,0.000,0.000,0.000,0
time,voltage,current,power,hydrogen,mode
0.0000,2.94,0.000,0.000,0.000,0
time,voltage,current,power,hydrogen,mode
0.0000,2.94,0.000,0.000,0.000,0
time,voltage,current,power,hydrogen,mode
0.0000,2.94,0.000,0.000,0.000,0
time,voltage,current,power,hydrogen,mode
0.0000,2.94,0.000,0.000,0.000,0
time,voltage,current,power,hydrogen,mode
0.0000,0.00,0.000,0.064,0.000,0
time,voltage,current,power,hydrogen,mode
0.0000,0.00,0.000,0.064,0.000,0
time,voltage,current,power,hydrogen,mode
time,voltage,current,power,hydrogen,mode
time,voltage,current,power,hydrogen,mode
