time,voltage,current,power,hydrogen,mode
0.5095,1.53,2.996,4.583,26.605,0
1.0100,1.53,2.996,4.583,26.605,0
1.5255,1.53,2.996,4.583,26.605,0
2.0258,1.53,2.996,4.583,26.605,0
2.5426,1.53,2.996,4.583,26.605,0
3.0573,1.53,2.996,4.583,26.605,0
3.5573,1.53,2.996,4.583,26.605,0
4.0586,1.53,2.996,4.583,26.605,0
4.5749,1.53,2.996,4.583,26.605,0
5.0755,1.53,2.996,4.583,26.605,0
5.5899,1.53,2.996,4.583,26.605,0
6.0908,1.53,2.996,4.583,26.605,0
6.5911,1.53,2.996,4.583,26.605,0
7.1060,1.53,2.996,4.583,26.605,0
7.6078,1.59,0.000,0.000,0.000,0
8.1249,1.59,0.146,0.232,1.297,0
8.6398,1.58,0.296,0.467,2.629,0
9.1403,1.58,0.430,0.679,3.819,0
9.6573,1.58,0.447,0.706,3.969,0
10.1724,1.58,0.596,0.941,5.293,0
10.6726,1.57,0.746,1.171,6.625,0
11.1888,1.57,0.896,1.406,7.957,0
11.7050,1.57,0.917,1.439,8.143,0
12.2061,1.57,1.046,1.642,9.289,0
12.7215,1.56,1.196,1.865,10.621,0
13.2352,1.56,1.346,2.099,11.953,0
13.7376,1.56,1.496,2.333,13.285,0
14.2526,1.56,1.496,2.333,13.285,0
14.7546,1.55,1.646,2.551,14.617,0
15.2689,1.55,1.796,2.783,15.949,0
15.7707,1.55,1.946,3.016,17.281,0
16.2850,1.55,2.096,3.248,18.613,0
16.8014,1.54,2.246,3.458,19.945,0
17.3015,1.54,2.246,3.458,19.945,0
17.8022,1.54,2.396,3.689,21.277,0
18.3028,1.54,2.546,3.920,22.609,0
18.8184,1.53,2.696,4.124,23.941,0
19.3345,1.53,2.846,4.354,25.273,0
19.8352,1.53,2.846,4.354,25.273,0
20.3508,1.53,2.996,4.583,26.605,0
20.8670,1.53,2.996,4.583,26.605,0
21.3670,1.53,2.996,4.583,26.605,0
21.8824,1.53,2.996,4.583,26.605,0
22.3840,1.53,2.996,4.583,26.605,0
22.8987,1.53,2.996,4.583,26.605,0
23.4014,1.53,2.996,4.583,26.605,0
23.9184,1.53,2.996,4.583,26.605,0
24.4307,1.53,2.996,4.583,26.605,0
24.9325,1.53,2.996,4.583,26.605,0
25.4483,1.53,2.996,4.583,26.605,0
25.9486,1.53,2.996,4.583,26.605,0
26.4497,1.53,2.996,4.583,26.605,0
26.9648,1.53,2.996,4.583,26.605,0
27.4778,1.53,2.996,4.583,26.605,0
27.9829,1.53,2.996,4.583,26.605,0
28.4953,1.53,2.996,4.583,26.605,0
28.9982,1.53,2.996,4.583,26.605,0
29.5141,1.53,2.996,4.583,26.605,0
30.0141,1.53,2.996,4.583,26.605,0
30.5302,1.53,2.996,4.583,26.605,0
31.0464,1.53,2.996,4.583,26.605,0
31.5466,1.53,2.996,4.583,26.605,0
32.0488,1.53,2.996,4.583,26.605,0
32.5638,1.53,2.996,4.583,26.605,0
33.0792,1.53,2.996,4.583,26.605,0
33.5792,1.53,2.996,4.583,26.605,0
34.0922,1.53,2.996,4.583,26.605,0
34.5962,1.53,2.996,4.583,26.605,0
35.1108,1.53,2.996,4.583,26.605,0
35.6278,1.53,2.996,4.583,26.605,0
36.1414,1.53,2.996,4.583,26.605,0
36.6429,1.53,2.996,4.583,26.605,0
37.1434,1.53,2.996,4.583,26.605,0
37.6584,1.53,2.996,4.583,26.605,0
38.1603,1.53,2.996,4.583,26.605,0
