time,voltage,current,power,hydrogen,mode
0.0000,0.06,0.000,-1431657.750,0.000,0
0.5000,0.00,-213909.047,0.000,-1899569.125,0
time,voltage,current,power,hydrogen,mode
0.0000,0.00,0.000,471597.062,0.000,0
0.5000,-1549598.75,-213909.047,0.000,-1899569.125,0
time,voltage,current,power,hydrogen,mode
0.0000,0.00,0.000,1077943.250,0.000,0
0.5000,-1549598.75,-213909.047,0.000,-1899569.125,0
time,voltage,current,power,hydrogen,mode
0.0000,0.00,0.000,1077943.250,0.000,0
0.5000,0.00,0.000,43.550,0.000,0
time,voltage,current,power,hydrogen,mode
0.0000,0.00,0.000,50548.766,0.000,0
0.5000,0.00,160006.156,0.011,1420897.125,0
time,voltage,current,power,hydrogen,mode
0.0000,0.00,0.000,43.550,0.000,0
0.5000,0.00,0.000,43.550,0.000,0
time,voltage,current,power,hydrogen,mode
0.0000,0.00,0.000,1600062.375,0.000,0
0.5000,0.00,0.000,43.550,0.000,0
time,voltage,current,power,hydrogen,mode
0.0000,0.00,0.000,1600061.625,0.000,0
0.5000,-1549598.75,-213909.047,0.000,-1899569.125,0
time,voltage,current,power,hydrogen,mode
0.0000,0.00,0.006,0.000,0.057,0
0.5000,0.06,0.000,-1431691.750,0.000,0
time,voltage,current,power,hydrogen,mode
0.0000,0.00,0.006,0.000,0.057,0
0.5000,0.00,0.000,43.550,0.000,0
time,voltage,current,power,hydrogen,mode
0.0000,0.00,0.006,0.000,0.057,0
0.5000,0.06,0.000,50550.273,0.000,0
time,voltage,current,power,hydrogen,mode
0.0000,0.00,0.006,303169.719,0.057,0
0.5000,-1549598.75,-213909.047,0.000,-1899569.125,0
time,voltage,current,power,hydrogen,mode
0.0000,0.00,0.000,303169.719,0.000,0
0.5000,-1549598.75,-213909.047,0.000,-1899569.125,0
time,voltage,current,power,hydrogen,mode
0.0000,0.00,0.000,303169.719,0.000,0
0.5000,-1549598.75,-136430.406,0.000,-1211538.250,0
time,voltage,current,power,hydrogen,mode
0.0000,0.00,0.000,303169.719,0.000,0
0.5000,505282.56,-136430.406,0.000,-1211538.250,0
time,voltage,current,power,hydrogen,mode
0.0000,0.00,0.000,0.000,0.000,0
0.5000,2.94,0.000,0.000,0.000,0
time,voltage,current,power,hydrogen,mode
0.0000,2139094.75,-176852.172,0.000,-1570494.250,0
0.5000,1077943.25,0.000,0.000,0.000,0
time,voltage,current,power,hydrogen,mode
0.0000,185303.06,0.000,0.000,0.000,0
0.5000,2139094.75,-176852.172,0.000,-1570494.250,0
