time,voltage,current,power,hydrogen,mode
0.5101,0.91,3.996,3.636,35.486,0
1.0264,0.91,3.996,3.636,35.486,0
1.5427,0.91,3.996,3.636,35.486,0
2.0433,0.91,3.996,3.636,35.486,0
2.5594,0.91,3.996,3.636,35.486,0
3.0735,0.91,3.995,3.635,35.477,0
3.5750,0.91,3.996,3.636,35.486,0
4.0767,0.91,3.995,3.635,35.477,0
4.5907,0.91,3.995,3.635,35.477,0
5.0912,0.91,3.996,3.636,35.486,0
5.5914,0.91,3.996,3.636,35.486,0
6.1074,0.91,3.995,3.635,35.477,0
6.6091,0.91,3.995,3.635,35.477,0
7.1242,0.91,3.995,3.635,35.477,0
7.6401,0.99,0.000,0.000,0.000,0
8.1542,0.99,0.000,0.000,0.000,0
8.6566,0.90,0.071,0.070,0.630,0
9.1727,0.99,0.145,0.143,1.288,0
26.8910,0.99,0.145,0.143,1.288,0
27.3968,0.99,0.145,0.143,1.288,0
27.8973,0.99,0.220,0.217,1.954,0
28.4134,0.98,0.295,0.289,2.620,0
28.9276,0.98,0.369,0.361,3.277,0
29.4291,0.98,0.380,0.372,3.375,0
29.9293,0.90,0.445,0.436,3.952,0
30.4294,0.98,0.520,0.509,4.618,0
30.9449,0.98,0.595,0.583,5.284,0
31.4617,0.98,0.670,0.656,5.950,0
31.9786,0.98,0.672,0.658,5.968,0
32.4790,0.97,0.745,0.722,6.616,0
32.9934,0.97,0.820,0.795,7.282,0
33.4942,0.97,0.895,0.868,7.948,0
34.0112,0.97,0.970,0.940,8.614,0
34.5254,0.97,0.970,0.940,8.614,0
35.0264,0.90,1.045,1.013,9.280,0
35.5269,0.97,1.120,1.086,9.946,0
53.2205,0.97,1.120,1.086,9.946,0
53.7330,0.97,1.120,1.086,9.946,0
54.2344,0.97,1.194,1.158,10.603,0
54.7514,0.96,1.270,1.219,11.278,0
55.2670,0.96,1.344,1.290,11.935,0
55.7827,0.96,1.352,1.297,12.006,0
56.2983,0.96,1.420,1.363,12.610,0
56.7995,0.96,1.495,1.435,13.276,0
57.3163,0.96,1.495,1.435,13.276,0
57.8326,0.96,1.495,1.435,13.276,0
58.3492,0.96,1.495,1.435,13.276,0
58.8651,0.96,1.495,1.435,13.276,0
59.3654,0.96,1.495,1.435,13.276,0
59.8820,0.96,1.495,1.435,13.276,0
60.3976,0.96,1.495,1.435,13.276,0
60.9149,0.96,1.495,1.435,13.276,0
61.4155,0.96,1.495,1.435,13.276,0
61.9156,0.96,1.495,1.435,13.276,0
62.4305,0.96,1.495,1.435,13.276,0
62.9306,0.96,1.495,1.435,13.276,0
63.4306,0.96,1.495,1.435,13.276,0
63.9460,0.96,1.495,1.435,13.276,0
64.4619,0.96,1.495,1.435,13.276,0
64.9790,0.96,1.495,1.435,13.276,0
65.4942,0.96,1.495,1.435,13.276,0
65.9944,0.96,1.495,1.435,13.276,0
66.4945,0.96,1.495,1.435,13.276,0
66.9962,0.96,1.495,1.435,13.276,0
67.5112,0.96,1.495,1.435,13.276,0
68.0118,0.96,1.495,1.435,13.276,0
68.5268,0.96,1.495,1.435,13.276,0
69.0293,0.96,1.495,1.435,13.276,0
69.5445,0.96,1.495,1.435,13.276,0
70.0599,0.99,0.000,0.000,0.000,0
70.5750,0.99,0.006,0.005,0.053,0
71.0909,0.99,0.071,0.070,0.630,0
71.5926,0.99,0.145,0.143,1.288,0
72.1093,0.99,0.220,0.217,1.954,0
72.6254,0.98,0.295,0.289,2.620,0
73.1402,0.98,0.295,0.289,2.620,0
73.6561,0.98,0.369,0.361,3.277,0
74.1581,0.98,0.445,0.436,3.952,0
74.6746,0.98,0.520,0.509,4.618,0
75.1909,0.98,0.595,0.583,5.284,0
75.7059,0.98,0.670,0.656,5.950,0
76.2219,0.98,0.670,0.656,5.950,0
76.7229,0.98,0.745,0.730,6.616,0
77.2231,0.97,0.820,0.795,7.282,0
77.7236,0.97,0.895,0.868,7.948,0
78.2364,0.97,0.960,0.931,8.525,0
78.7373,0.97,0.970,0.940,8.614,0
79.2389,0.97,1.045,1.013,9.280,0
79.7554,0.97,1.120,1.086,9.946,0
80.2705,0.97,1.194,1.158,10.603,0
80.7871,0.97,1.194,1.158,10.603,0
81.2875,0.96,1.270,1.219,11.278,0
81.7878,0.96,1.344,1.290,11.935,0
82.3041,0.96,1.420,1.363,12.610,0
82.8191,0.96,1.428,1.370,12.681,0
83.3203,0.96,1.495,1.435,13.276,0
83.8366,0.96,1.494,1.434,13.267,0
84.3375,0.96,1.495,1.435,13.276,0
84.8519,0.96,1.495,1.435,13.276,0
85.3526,0.96,1.495,1.435,13.276,0
85.8685,0.96,1.495,1.435,13.276,0
86.3849,0.96,1.495,1.435,13.276,0
86.9021,0.96,1.495,1.435,13.276,0
87.4181,0.96,1.495,1.435,13.276,0
87.9318,0.96,1.495,1.435,13.276,0
88.4347,0.96,1.495,1.435,13.276,0
88.9507,0.96,1.495,1.435,13.276,0
89.4667,0.96,1.495,1.435,13.276,0
89.9670,0.96,1.495,1.435,13.276,0
90.4826,0.96,1.495,1.435,13.276,0
90.9833,0.96,1.495,1.435,13.276,0
91.4997,0.96,1.495,1.435,13.276,0
92.0161,0.96,1.495,1.435,13.276,0
92.5324,0.96,1.495,1.435,13.276,0
93.0460,0.96,1.495,1.435,13.276,0
93.5478,0.96,1.495,1.435,13.276,0
94.0479,0.96,1.495,1.435,13.276,0
94.5480,0.96,1.495,1.435,13.276,0
95.0480,0.96,1.495,1.435,13.276,0
95.5642,0.96,1.495,1.435,13.276,0
96.0648,0.96,1.495,1.435,13.276,0
96.5649,0.96,1.495,1.435,13.276,0
97.0802,0.96,1.495,1.435,13.276,0
97.5964,0.96,1.495,1.435,13.276,0
98.0965,0.96,1.495,1.435,13.276,0
98.5978,0.96,1.495,1.435,13.276,0
99.1116,0.96,1.495,1.435,13.276,0
99.6119,0.96,1.495,1.435,13.276,0
100.1121,0.96,1.495,1.435,13.276,0
100.6129,0.96,1.495,1.435,13.276,0
101.1282,0.96,1.495,1.435,13.276,0
101.6289,0.96,1.495,1.435,13.276,0
102.1418,0.96,1.495,1.435,13.276,0
102.6439,0.96,1.495,1.435,13.276,0
103.1592,0.96,1.495,1.435,13.276,0
103.6597,0.96,1.495,1.435,13.276,0
104.1602,0.96,1.495,1.435,13.276,0
104.6764,0.96,1.495,1.435,13.276,0
105.1929,0.96,1.495,1.435,13.276,0
105.7091,0.96,1.495,1.435,13.276,0
106.2094,0.96,1.495,1.435,13.276,0
106.7254,0.96,1.495,1.435,13.276,0
107.2259,0.96,1.495,1.435,13.276,0
107.7411,0.96,1.495,1.435,13.276,0
108.2416,0.96,1.495,1.435,13.276,0
108.7576,0.96,1.495,1.435,13.276,0
109.2581,0.96,1.495,1.435,13.276,0
109.7739,0.96,1.495,1.435,13.276,0
110.2903,0.96,1.495,1.435,13.276,0
110.8072,0.96,1.495,1.435,13.276,0
111.3233,0.96,1.495,1.435,13.276,0
111.8388,0.96,1.495,1.435,13.276,0
112.3534,0.96,1.495,1.435,13.276,0
112.8556,1.91,1.495,2.855,13.276,0
113.3559,1.96,1.495,2.930,13.276,0
113.8721,1.96,1.495,2.930,13.276,0
114.3882,1.96,1.495,2.930,13.276,0
114.8884,1.96,1.495,2.930,13.276,0
115.4046,1.96,1.495,2.930,13.276,0
115.9208,1.96,1.495,2.930,13.276,0
116.4371,1.96,1.495,2.930,13.276,0
116.9373,1.96,1.495,2.930,13.276,0
117.4535,1.96,1.495,2.930,13.276,0
117.9700,0.96,1.495,1.435,13.276,0
118.4859,0.96,1.495,1.435,13.276,0
118.9863,0.96,1.495,1.435,13.276,0
119.5026,1.96,1.495,2.930,13.276,0
120.0191,1.96,1.495,2.930,13.276,0
120.5348,1.96,1.495,2.930,13.276,0
121.0352,1.96,1.495,2.930,13.276,0
121.5502,1.96,1.495,2.930,13.276,0
122.0653,1.86,1.495,2.780,13.276,0
122.5665,1.76,1.495,2.631,13.276,0
123.0671,1.66,1.495,2.481,13.276,0
123.5835,1.66,1.495,2.481,13.276,0
124.0838,1.66,1.495,2.481,13.276,0
124.5998,1.66,1.495,2.481,13.276,0
125.1164,1.56,1.495,2.332,13.276,0
125.6329,1.56,1.495,2.332,13.276,0
126.1493,1.56,1.494,2.330,13.267,0
126.6656,1.56,1.495,2.332,13.276,0
127.1658,1.56,1.495,2.332,13.276,0
127.6820,1.56,1.495,2.332,13.276,0
128.1981,1.56,1.495,2.332,13.276,0
128.7147,1.56,1.495,2.332,13.276,0
129.2313,1.56,1.494,2.330,13.267,0
129.7476,1.56,1.495,2.332,13.276,0
130.2484,1.56,1.495,2.332,13.276,0
130.7609,1.59,0.000,0.000,0.000,0
131.2628,1.59,0.070,0.111,0.622,0
131.7789,1.59,0.145,0.230,1.288,0
132.2946,1.59,0.145,0.230,1.288,0
132.7961,1.59,0.220,0.349,1.954,0
133.3106,1.58,0.295,0.466,2.620,0
133.8112,1.58,0.369,0.583,3.277,0
134.3262,1.58,0.369,0.583,3.277,0
134.8273,1.58,0.445,0.703,3.952,0
135.3277,1.58,0.520,0.821,4.618,0
135.8437,1.58,0.595,0.940,5.284,0
136.3603,1.57,0.670,1.051,5.950,0
136.8603,1.58,0.670,1.058,5.950,0
137.3603,1.57,0.745,1.169,6.616,0
137.8603,1.57,0.820,1.287,7.282,0
138.3603,1.57,0.895,1.405,7.948,0
138.8603,1.57,0.895,1.405,7.948,0
139.3768,0.01,0.004,0.005,0.033,0
140.4935,1.57,1.045,1.640,9.280,0
141.0088,1.57,1.120,1.758,9.946,0
141.5249,1.56,1.194,1.862,10.603,0
142.0400,1.56,1.200,1.872,10.656,0
142.5407,1.56,1.270,1.981,11.278,0
143.0411,1.56,1.344,2.096,11.935,0
143.5576,1.56,1.420,2.215,12.610,0
144.0739,1.56,1.495,2.332,13.276,0
144.5900,1.56,1.495,2.332,13.276,0
145.0901,1.56,1.495,2.332,13.276,0
145.6057,1.56,1.495,2.332,13.276,0
146.1063,1.56,1.495,2.332,13.276,0
146.6227,1.56,1.495,2.332,13.276,0
147.1367,1.56,1.494,2.330,13.267,0
147.6385,1.56,1.495,2.332,13.276,0
148.1544,1.56,1.495,2.332,13.276,0
148.6547,1.56,1.495,2.332,13.276,0
149.1547,1.56,1.495,2.332,13.276,0
149.6700,1.56,1.495,2.332,13.276,0
150.1708,1.56,1.495,2.332,13.276,0
150.6708,1.56,1.495,2.332,13.276,0
151.1708,1.56,1.495,2.332,13.276,0
151.6717,1.56,1.495,2.332,13.276,0
152.1859,1.56,1.495,2.332,13.276,0
152.6874,1.56,1.494,2.330,13.267,0
153.1887,1.56,1.495,2.332,13.276,0
153.7019,1.56,1.495,2.332,13.276,0
154.2022,1.56,1.495,2.332,13.276,0
154.7185,1.56,1.495,2.332,13.276,0
155.2197,1.56,1.494,2.330,13.267,0
155.7357,1.56,1.495,2.332,13.276,0
156.2523,1.56,1.495,2.332,13.276,0
156.7658,1.56,1.495,2.332,13.276,0
157.2671,1.56,1.495,2.332,13.276,0
157.7825,1.56,1.495,2.332,13.276,0
158.2832,1.56,1.495,2.332,13.276,0
158.7835,1.56,1.495,2.332,13.276,0
159.2995,1.56,1.495,2.332,13.276,0
159.8144,1.56,1.495,2.332,13.276,0
160.3159,1.56,1.495,2.332,13.276,0
160.8319,1.56,1.495,2.332,13.276,0
161.3323,1.56,1.495,2.332,13.276,0
161.8330,1.56,1.495,2.332,13.276,0
162.3484,1.56,1.495,2.332,13.276,0
162.8490,1.56,1.495,2.332,13.276,0
163.3641,1.56,1.495,2.332,13.276,0
163.8804,1.56,1.495,2.332,13.276,0
164.3970,1.56,1.495,2.332,13.276,0
164.8972,1.56,1.495,2.332,13.276,0
165.4129,1.56,1.495,2.332,13.276,0
165.9144,1.56,1.495,2.332,13.276,0
166.4288,1.56,1.495,2.332,13.276,0
166.9300,1.56,1.495,2.332,13.276,0
167.4463,1.56,1.495,2.332,13.276,0
167.9628,1.56,1.495,2.332,13.276,0
168.4636,1.56,1.495,2.332,13.276,0
168.9791,1.56,1.495,2.332,13.276,0
169.4946,1.56,1.495,2.332,13.276,0
169.9957,1.56,1.495,2.332,13.276,0
170.5119,1.56,1.495,2.332,13.276,0
171.0269,1.56,1.494,2.330,13.267,0
171.5274,1.56,1.495,2.332,13.276,0
172.0275,1.56,1.495,2.332,13.276,0
172.5434,1.56,1.495,2.332,13.276,0
173.0452,1.56,1.495,2.332,13.276,0
173.5580,1.56,1.495,2.332,13.276,0
174.0593,1.56,1.495,2.332,13.276,0
174.5596,1.56,1.495,2.332,13.276,0
175.0611,1.56,1.494,2.330,13.267,0
175.5742,1.56,1.495,2.332,13.276,0
176.0758,1.56,1.495,2.332,13.276,0
176.5887,1.56,1.494,2.330,13.267,0
177.0922,1.56,1.495,2.332,13.276,0
177.6074,1.56,1.495,2.332,13.276,0
178.1239,1.56,1.495,2.332,13.276,0
178.6403,1.56,1.495,2.332,13.276,0
179.1404,1.56,1.495,2.332,13.276,0
179.6566,1.56,1.495,2.332,13.276,0
180.1728,1.56,1.495,2.332,13.276,0
180.6728,1.56,1.495,2.332,13.276,0
181.1867,1.56,1.495,2.332,13.276,0
181.6891,1.56,1.494,2.330,13.267,0
182.1894,1.56,1.495,2.332,13.276,0
182.7050,1.56,1.495,2.332,13.276,0
183.2217,1.56,1.495,2.332,13.276,0
183.7377,1.56,1.495,2.332,13.276,0
184.2377,1.56,1.495,2.332,13.276,0
184.7542,1.56,1.495,2.332,13.276,0
185.2699,1.56,1.495,2.332,13.276,0
185.7704,1.56,1.495,2.332,13.276,0
186.2870,1.56,1.495,2.332,13.276,0
186.8010,1.56,1.494,2.330,13.267,0
187.3030,1.56,1.495,2.332,13.276,0
187.8193,1.56,1.495,2.332,13.276,0
188.3359,1.56,1.494,2.330,13.267,0
188.8522,1.56,1.495,2.332,13.276,0
189.3686,1.56,1.494,2.330,13.267,0
189.8851,1.56,1.495,2.332,13.276,0
190.4011,1.56,1.495,2.332,13.276,0
190.9177,1.56,1.495,2.332,13.276,0
191.4337,1.56,1.495,2.332,13.276,0
191.9339,1.56,1.495,2.332,13.276,0
192.4504,1.56,1.495,2.332,13.276,0
192.9662,1.56,1.495,2.332,13.276,0
193.4667,1.56,1.495,2.332,13.276,0
193.9822,1.56,1.495,2.332,13.276,0
194.4827,1.56,1.495,2.332,13.276,0
194.9981,1.56,1.495,2.332,13.276,0
